customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
GS98873,Arizona,F,Bachelor,323912,16061,88,0,633,Personal Auto,Four-Door Car
CW49887,California,F,Master,462680,79487,114,0,547,Special Auto,SUV
MY31220,California,F,College,899704,54230,112,0,537,Personal Auto,Two-Door Car
UH35128,Oregon,F,College,2580706,71210,214,1,1027,Personal Auto,Luxury
WH52799,Arizona,F,College,380812,94903,94,0,451,Corporate Auto,Two-Door Car
WL99637,Arizona,M,Bachelor,761413,27293,96,0,469,Personal Auto,Two-Door Car
UC84059,California,F,Master,689845,70950,171,0,565,Personal Auto,Luxury
HW62747,Oregon,M,College,229837,0,63,0,302,Corporate Auto,Four-Door Car
BH11344,Oregon,F,Doctor,280669,37009,71,0,145,Corporate Auto,Two-Door Car
TX28465,Nevada,M,College,520611,52629,65,0,136,Personal Auto,Four-Door Car
OK56965,California,F,Bachelor,4570865,31264,198,1,825,Personal Auto,Luxury
WT22392,Oregon,F,College,800734,65473,67,0,277,Personal Auto,Four-Door Car
PH85036,Washington,F,Bachelor,548254,79325,68,0,251,Corporate Auto,Four-Door Car
KC71643,Oregon,M,High School or Below,246323,99144,61,0,292,Corporate Auto,Four-Door Car
NR32615,California,M,College,549894,22520,73,0,350,Corporate Auto,Four-Door Car
GS69842,Arizona,F,Bachelor,524382,36615,65,0,264,Special Auto,Four-Door Car
WT71621,Washington,F,Bachelor,328045,63297,82,0,251,Personal Auto,Four-Door Car
KD23847,Arizona,F,High School or Below,488654,76374,61,0,292,Personal Auto,Four-Door Car
PE59368,Washington,F,Bachelor,512348,72096,6464,0,252,Personal Auto,Two-Door Car
NK91488,Nevada,M,Master,547955,56005,68,1,326,Personal Auto,Four-Door Car
CR33417,Washington,F,Master,476215,36529,118,0,255,Personal Auto,SUV
WP73172,Oregon,F,Bachelor,828767,81367,103,0,415,Special Auto,SUV
PS30217,California,F,Bachelor,988665,44817,83,0,527,Personal Auto,Four-Door Car
EL62967,Oregon,F,High School or Below,271291,58508,69,0,57,Personal Auto,Two-Door Car
MU23938,Oregon,M,Bachelor,1047767,45259,138,0,272,Personal Auto,SUV
VC83809,California,M,Doctor,343613,30817,88,0,91,Personal Auto,Four-Door Car
VL34577,Oregon,F,High School or Below,259618,0,72,0,345,Personal Auto,Two-Door Car
