customer,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class
SA25987,Washington,3479,High School or Below,M,0,104,0,Personal Auto,499,Two-Door Car
TB86706,Arizona,2502,Master,M,0,66,0,Personal Auto,3,Two-Door Car
ZL73902,Nevada,3265,Bachelor,F,25820,82,0,Personal Auto,393,Four-Door Car
KX23516,California,4455,High School or Below,F,0,121,0,Personal Auto,699,SUV
FN77294,California,7704,High School or Below,M,30366,101,2,Personal Auto,484,SUV
VI78454,Arizona,2750,College,M,51789,70,0,Personal Auto,336,Four-Door Car
FP59138,Oregon,13024,Master,M,0,125,0,Personal Auto,900,SUV
XN62489,Oregon,2538,Bachelor,M,18608,71,0,Corporate Auto,340,Four-Door Car
GP66031,California,2585,College,F,83758,64,0,Corporate Auto,106,Two-Door Car
IX68587,Nevada,5096,Master,F,22886,65,0,Personal Auto,312,Four-Door Car
HX17929,California,10083,High School or Below,F,11828,90,0,Personal Auto,571,Four-Door Car
IC59236,California,4943,College,F,44762,62,0,Corporate Auto,114,Four-Door Car
VG31922,Nevada,6516,Bachelor,F,0,175,0,Personal Auto,1221,SUV
HP87787,Arizona,8838,Bachelor,M,82664,114,3,Corporate Auto,133,SUV
AL78075,Oregon,3810,High School or Below,M,0,108,0,Personal Auto,777,Four-Door Car
WA97671,Arizona,6334,Bachelor,M,0,63,0,Personal Auto,302,Four-Door Car
QZ77637,Washington,11665,College,F,84978,72,1,Corporate Auto,166,Four-Door Car
FP11777,California,10972,Doctor,M,24164,137,0,Corporate Auto,657,Luxury
ID45268,California,6006,College,F,0,80,0,Personal Auto,488,Four-Door Car
AX86150,Washington,2656,High School or Below,M,62777,67,0,Personal Auto,101,Two-Door Car
MW57614,Arizona,2359,Bachelor,F,19864,63,0,Personal Auto,352,Four-Door Car
TJ30081,Arizona,12036,Bachelor,M,44428,104,0,Personal Auto,499,SUV
FW44940,California,8467,Bachelor,F,21139,113,0,Personal Auto,656,Luxury
CS55808,California,9392,College,M,0,88,0,Personal Auto,851,Four-Door Car
WZ61178,California,5227,Bachelor,F,11896,69,0,Personal Auto,476,Two-Door Car
IV55977,Oregon,2693,Bachelor,M,0,73,1,Personal Auto,350,Two-Door Car
YC67208,California,2227,High School or Below,M,27972,61,0,Personal Auto,292,Four-Door Car
LZ89773,California,2326,Doctor,M,0,62,0,Personal Auto,624,Four-Door Car
IP52990,Oregon,16794,High School or Below,F,38399,106,0,Personal Auto,368,SUV
VF73104,Arizona,5016,High School or Below,F,20868,63,0,Personal Auto,134,Four-Door Car
OC80343,Oregon,7757,Bachelor,M,49682,101,0,Personal Auto,198,SUV
EL89222,California,8609,Bachelor,F,79090,107,0,Personal Auto,289,SUV
QB14114,Oregon,5275,High School or Below,F,81850,132,0,Personal Auto,429,Luxury
HM41195,Arizona,5746,High School or Below,M,22906,76,0,Personal Auto,519,Four-Door Car
JT41591,Washington,2705,College,M,0,83,1,Personal Auto,398,Four-Door Car
HE15857,Washington,6186,Bachelor,M,37138,83,2,Personal Auto,417,Two-Door Car
KI64666,Nevada,22445,Bachelor,F,0,71,0,Personal Auto,511,Four-Door Car
JC33752,Oregon,6277,College,F,21024,82,1,Personal Auto,450,Two-Door Car
JA25453,California,7215,High School or Below,M,0,103,0,Personal Auto,741,Four-Door Car
AJ69778,Oregon,6514,High School or Below,F,77135,84,3,Personal Auto,98,Four-Door Car
FQ83162,Washington,34708,College,M,0,109,0,Personal Auto,718,Luxury
EY89842,Arizona,4216,Bachelor,M,0,114,0,Corporate Auto,820,SUV
TG69238,Oregon,13158,Bachelor,F,72845,108,0,Personal Auto,463,SUV
UI63465,Oregon,2917,High School or Below,F,51622,74,0,Corporate Auto,355,Four-Door Car
WX33904,Arizona,6355,Bachelor,M,0,61,0,Special Auto,292,Two-Door Car
HA20933,Oregon,13269,Bachelor,F,15616,114,1,Personal Auto,547,SUV
BU16704,Oregon,5880,High School or Below,F,0,82,0,Personal Auto,590,Four-Door Car
JV68002,Washington,5926,College,M,23091,96,5,Corporate Auto,460,Four-Door Car
PM78410,Oregon,4121,Bachelor,F,0,67,3,Personal Auto,482,Two-Door Car
PU92298,Arizona,7956,Bachelor,F,22699,74,4,Personal Auto,355,Four-Door Car
AA16582,Washington,24127,Bachelor,M,14072,71,0,Personal Auto,511,Four-Door Car
AZ87715,California,26864,High School or Below,F,81713,74,0,Personal Auto,332,Four-Door Car
GI89160,California,31934,Bachelor,F,56516,199,0,Personal Auto,955,Luxury
WV57813,Oregon,5132,Bachelor,F,0,73,0,Personal Auto,525,Four-Door Car
EW86465,Arizona,4759,High School or Below,M,26747,61,0,Corporate Auto,404,Four-Door Car
UW70224,Oregon,2637,College,F,63422,66,0,Personal Auto,355,Four-Door Car
LU12532,California,6503,High School or Below,F,22081,84,0,Personal Auto,451,Two-Door Car
WD48852,Oregon,12786,College,F,0,180,0,Special Auto,1296,Luxury
BH43379,Oregon,3147,Bachelor,F,29698,83,2,Personal Auto,215,Four-Door Car
GV59387,California,5618,College,F,24518,74,0,Personal Auto,241,Two-Door Car
LQ76410,Arizona,3230,College,M,62873,81,0,Special Auto,207,Four-Door Car
MF19231,California,7434,Master,M,28377,94,0,Personal Auto,451,Four-Door Car
XS47087,Oregon,11714,College,M,21102,100,0,Personal Auto,480,SUV
IL56791,Oregon,2009,Bachelor,M,0,65,2,Personal Auto,312,Two-Door Car
UV88036,Nevada,6625,High School or Below,F,0,88,0,Personal Auto,539,Four-Door Car
SE76116,California,9567,Bachelor,M,81410,119,0,Personal Auto,221,SUV
GJ63103,Oregon,18474,High School or Below,F,27869,67,0,Personal Auto,482,Two-Door Car
PL78574,Arizona,12157,High School or Below,M,57449,103,0,Personal Auto,494,Four-Door Car
NV69875,Oregon,2956,High School or Below,M,40901,74,0,Corporate Auto,13,Four-Door Car
MC38650,Nevada,3963,High School or Below,M,88701,99,0,Personal Auto,171,Two-Door Car
No73819,California,10896,Master,F,29365,137,0,Personal Auto,657,Luxury
OW84864,California,6081,College,F,0,82,0,Personal Auto,393,Four-Door Car
BV91898,Arizona,30141,Bachelor,F,0,103,0,Personal Auto,1060,SUV
WQ54314,Oregon,5737,Bachelor,F,56455,73,2,Personal Auto,350,Four-Door Car
NM57315,California,16979,Bachelor,M,35095,73,0,Special Auto,525,Two-Door Car
JB51220,Oregon,10915,High School or Below,F,0,155,1,Corporate Auto,1116,Luxury
EN77569,Oregon,3808,College,F,94903,94,0,Special Auto,451,Two-Door Car
YP47665,Washington,5408,Doctor,M,80192,67,0,Personal Auto,95,Four-Door Car
QO54008,Oregon,13419,Master,M,0,122,0,Personal Auto,827,SUV
EQ59908,California,3237,Master,M,60244,83,3,Corporate Auto,326,Four-Door Car
YU72540,Arizona,10357,College,F,52735,65,0,Personal Auto,123,Four-Door Car
BZ50261,Arizona,11619,High School or Below,F,78275,72,0,Personal Auto,25,Two-Door Car
QE92747,Oregon,8209,Bachelor,F,77282,102,0,Corporate Auto,489,Four-Door Car
KG83280,California,3096,College,F,21604,79,0,Personal Auto,379,Four-Door Car
IL42365,Arizona,4804,High School or Below,F,51962,125,4,Personal Auto,788,Luxury
FI86516,Oregon,4786,Bachelor,F,0,68,0,Corporate Auto,489,Four-Door Car
FV14881,California,15886,Doctor,F,56362,197,1,Personal Auto,945,Luxury
RR54950,Arizona,5285,College,M,85753,66,1,Special Auto,316,Four-Door Car
FC70869,Arizona,2945,High School or Below,F,36167,76,3,Personal Auto,364,Two-Door Car
PB60303,Oregon,18089,Master,F,68568,223,1,Personal Auto,1070,Luxury
HO50571,California,10208,College,F,35482,129,0,Personal Auto,619,SUV
BH86846,Washington,20708,High School or Below,M,92079,65,1,Corporate Auto,114,Four-Door Car
PC42162,Oregon,5247,Bachelor,M,0,77,0,Personal Auto,554,Two-Door Car
KD21661,California,5179,College,M,0,165,2,Personal Auto,1188,SUV
FZ73016,California,4513,Bachelor,F,34558,113,0,Personal Auto,376,SUV
HJ19927,Nevada,5297,Master,M,14775,69,0,Personal Auto,170,Four-Door Car
RJ99408,California,5377,High School or Below,M,35637,68,0,Personal Auto,326,Four-Door Car
